time	train_acc	val_acc	sd_acc10	val_auc	sd_auc10	val_tn	val_fn	val_fp	val_tp	val_precision	sd_precision10	val_recall	sd_recall10	val_f1	sd_f1_10	val_mmc	sd_mcc_10	epst	train_acc_a	sd_acc	val_acc_a	sd_acc	train_auc_a	sd_auc	val_auc_a	sd_auc	va_mmc_a	sd_mmc
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/obegenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_172807c255.0di-1ch3dfc0.0file_sum_ok.txt	3852.8	0.812	0.624	0.013	0.58	0.024	1.6	2.21	7.3	14.19	0.661	0.011	0.866	0.02	0.748	0.009	0.057	0.044	14.13	0.8120710849761963	0.0659489631652832	0.6241076973080635	0.06830701885231895	0.9105954348977664	0.05000754054280059	0.5798733660130718	0.10803155355237903	0.057128450648076694	0.19843598281934474
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/wt2dgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_195600c255.0di-1ch3dfc0.0file_sum_ok.txt	2121.6	0.907	0.635	0.04	0.68	0.028	2.53	1.74	1.77	3.56	0.685	0.041	0.675	0.053	0.662	0.034	0.283	0.094	49.6	0.9073268175125122	0.07003790140151978	0.6345555651187896	0.15403137936325206	0.9602360835941463	0.03864695717772439	0.6797333333333332	0.1926709515094467	0.28255455854683176	0.3244498163802331
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/raw/t2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_133344c1.0di-1ch3dfc0.0file_sum_ok.txt	150907.1	0.751	0.66	0.011	0.72	0.007	10.75	5.07	6.65	11.93	0.649	0.011	0.702	0.018	0.67	0.011	0.324	0.025	480.53	0.7512199282646179	0.03667162358760834	0.6595042118430138	0.0854217001544006	0.8405725305528604	0.009450607752426473	0.7200634371395617	0.09103209932271464	0.32391629174067765	0.1748627597086515
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/raw/colgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_212023c1.0di-1ch3dfc0.0file_sum_ok.txt	65704.0	0.707	0.634	0.012	0.799	0.021	7.16	4.29	0.14	0.51	0.373	0.108	0.106	0.039	0.16	0.055	0.133	0.048	482.25	0.7068910002708435	0.024903161451220512	0.6339335685968399	0.06295088437727497	0.9085374980903521	0.013273126643629453	0.7993214285714285	0.1333408007050095	0.1330496383460863	0.21553917780839538
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/raw/cirgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200223_161050c1.0di-1ch3dfc0.0file_sum_ok.txt	104962.2	0.83	0.754	0.01	0.854	0.01	8.25	2.56	3.15	9.24	0.755	0.011	0.784	0.016	0.762	0.011	0.516	0.023	500.0	0.8301596641540527	0.019515950232744217	0.7535803687572479	0.08649063078435322	0.9222751467509157	0.009348263687899106	0.8542688246097337	0.07030945462100181	0.5162983369600791	0.17247113527166003
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/raw/ibdgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_153532c1.0di-1ch3dfc0.0file_sum_ok.txt	65749.5	0.773	0.775	0.0	0.81	0.028	8.5	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	450.61	0.772754967212677	0.002755105262622237	0.7750000059604645	0.025000005960464478	0.9637385583524026	0.014467691053213945	0.8102777777777779	0.1569153939026423	0.0	0.0
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/raw/obegene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200223_161105c1.0di-1ch3dfc0.0file_sum_ok.txt	76952.6	0.649	0.648	0.0	0.619	0.013	0.0	0.0	8.9	16.4	0.648	0.0	1.0	0.0	0.786	0.0	0.0	0.0	358.78	0.648528516292572	0.001720861648209393	0.6481538355350495	0.012289415771561354	0.8108083233105556	0.03146316162098744	0.6194281045751634	0.11766122089324477	0.0	0.0
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/raw/wt2dgene_raw/a10_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_072901c1.0di-1ch3dfc0.0file_sum_ok.txt	50928.5	0.759	0.586	0.035	0.702	0.011	1.88	1.56	2.42	3.74	0.542	0.048	0.719	0.043	0.602	0.043	0.191	0.075	405.08	0.7587530612945557	0.13833566009998322	0.586000010818243	0.12837656824559576	0.9522943585436588	0.015921450069165604	0.70235	0.17302843295571718	0.19131063824075187	0.28105710601010125
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_162429c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	3257.9	0.965	0.852	0.014	0.886	0.02	8.09	1.22	0.41	1.28	0.666	0.053	0.513	0.049	0.556	0.037	0.509	0.037	111.55	0.9646464586257935	0.04507133364677429	0.8518181931972504	0.09417321976089776	0.9926199414274097	0.009403809598741378	0.8856944444444445	0.14422867163716865	0.508846319806549	0.3516394795994643
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/obegenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_171854c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	4242.3	0.777	0.642	0.015	0.584	0.024	1.3	1.46	7.6	14.94	0.664	0.009	0.911	0.014	0.767	0.011	0.078	0.046	11.7	0.7765114307403564	0.08056843280792236	0.6417692339420319	0.0541889653678838	0.8727005565656359	0.06986495374003827	0.5837826797385621	0.10361761780041971	0.07775146486496624	0.19185093537177622
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_152528c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	3534.5	0.959	0.813	0.02	0.866	0.012	6.31	1.27	0.99	3.53	0.81	0.03	0.734	0.033	0.754	0.03	0.621	0.044	80.78	0.9585720896720886	0.05200206860899925	0.8133974388241768	0.11196828254459763	0.980595245839432	0.028065676752002326	0.86575	0.11873043071837745	0.6208730569586959	0.2285778341858327
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/wt2dgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_200249c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	2551.0	0.863	0.647	0.03	0.679	0.022	2.46	1.56	1.84	3.74	0.689	0.032	0.711	0.03	0.684	0.028	0.305	0.059	48.02	0.8630059957504272	0.07778186351060867	0.6468888966739178	0.1440128589901919	0.9345566867420871	0.04498407756723414	0.6789000000000001	0.19446039585364305	0.3049287928842184	0.30425745337927246
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/t2dgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_182944c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	5578.0	0.777	0.633	0.019	0.671	0.02	11.23	6.47	6.17	10.53	0.641	0.02	0.619	0.018	0.625	0.016	0.268	0.038	25.66	0.7771310210227966	0.10849817097187042	0.6326974913477897	0.09686178833236697	0.9010522270043628	0.08385465350353585	0.6707631680123031	0.1104720874569446	0.2681174162283934	0.19684720530275027
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200225_140257c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	4945.0	0.958	0.847	0.01	0.928	0.007	9.65	1.81	1.75	9.99	0.86	0.014	0.847	0.015	0.848	0.009	0.703	0.019	77.13	0.9582273960113525	0.04127010330557823	0.8465579664707183	0.07167116816376465	0.9918604725891912	0.010916316787184683	0.9276136363636364	0.056523098788129014	0.7026699539336474	0.13996560658459628
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_165718c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	3032.4	0.976	0.838	0.021	0.88	0.021	7.97	1.25	0.53	1.25	0.665	0.094	0.5	0.058	0.547	0.062	0.487	0.071	86.05	0.9759595394134521	0.024691957980394363	0.8381818288564682	0.1025138598310193	0.9931434542158485	0.008811142417456303	0.8798611111111111	0.1357190356427663	0.48720597692347023	0.34863662852382526
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_134722c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	4337.7	0.958	0.841	0.013	0.919	0.009	9.64	1.93	1.76	9.87	0.854	0.014	0.837	0.017	0.841	0.013	0.688	0.026	42.03	0.9581359624862671	0.05193224176764488	0.8409239071607589	0.08048197808570533	0.990121362999766	0.016620905552252457	0.9187941919191921	0.06927145896196509	0.6884527012992487	0.15996283544232376
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/t2dgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_185716c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	5445.0	0.831	0.618	0.018	0.671	0.014	10.84	6.6	6.56	10.4	0.632	0.017	0.612	0.025	0.614	0.016	0.238	0.038	24.87	0.831464946269989	0.13980604708194733	0.6176974895596504	0.09417411058255244	0.9377928527282218	0.08359924493401315	0.6712918108419837	0.1118290523391032	0.2381995878845985	0.1941343243379986
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_160047c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	3384.7	0.983	0.779	0.022	0.849	0.013	6.08	1.45	1.22	3.35	0.758	0.034	0.697	0.037	0.712	0.03	0.548	0.047	62.75	0.9829027056694031	0.026655960828065872	0.7793589785695076	0.11915209607263005	0.9938192389006343	0.011182671260093183	0.8490446428571429	0.11625276048675497	0.5479191955445759	0.24786283819822685
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/obegenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_174758c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	4150.6	0.838	0.627	0.012	0.594	0.022	1.1	1.62	7.8	14.78	0.655	0.007	0.901	0.014	0.757	0.009	0.039	0.035	10.38	0.838023841381073	0.072524294257164	0.6274769273400307	0.059301265784291554	0.9345856179308559	0.0545724182882385	0.5937908496732026	0.09878050698909951	0.03909531011270208	0.19410263178454193
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//model_cnn/qtf_pc576_10_fillseqf_nb10_auy_rainbow/wt2dgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_202809c255.0di-1ch3_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	2491.0	0.877	0.657	0.026	0.662	0.022	2.5	1.5	1.8	3.8	0.699	0.024	0.72	0.029	0.693	0.023	0.326	0.053	38.93	0.8772387504577637	0.07777969539165497	0.6572222305834293	0.15154655060199454	0.9468329917640529	0.04478616523474465	0.6622999999999999	0.19637305483865822	0.3256651240848878	0.31754134334374867
